FIPS,Recip_County,Recip_State,Series_Complete_18PlusPop_Pct,Census2019_18PlusPop
37169,Stokes County,NC,16.8,37145.0
48505,Zapata County,TX,0.0,9491.0
35039,Rio Arriba County,NM,26.1,29944.0
39057,Greene County,OH,21.0,134183.0
49015,Emery County,UT,17.5,7168.0
54089,Summers County,WV,7.7,10547.0
24019,Dorchester County,MD,23.1,25219.0
19015,Boone County,IA,26.4,20698.0
51087,Henrico County,VA,8.0,256660.0
29025,Caldwell County,MO,19.3,6923.0
38007,Billings County,ND,10.2,735.0
51005,Alleghany County,VA,1.6,12146.0
55067,Langlade County,WI,21.4,15448.0
27083,Lyon County,MN,28.2,18920.0
17035,Cumberland County,IL,20.1,8371.0
09007,Middlesex County,CT,31.8,134377.0
27079,Le Sueur County,MN,20.6,21982.0
20085,Jackson County,KS,31.8,9864.0
42129,Westmoreland County,PA,19.8,285329.0
05103,Ouachita County,AR,16.4,18168.0
53055,San Juan County,WA,24.7,15353.0
12121,Suwannee County,FL,16.5,35076.0
37005,Alleghany County,NC,26.9,9249.0
18083,Knox County,IN,31.4,28776.0
54037,Jefferson County,WV,9.7,44559.0
72147,Vieques Municipio,PR,45.4,6882.0
29223,Wayne County,MO,17.1,10261.0
39165,Warren County,OH,17.9,177873.0
06059,Orange County,CA,20.1,2486016.0
26127,Oceana County,MI,19.5,20556.0
48065,Carson County,TX,0.0,4540.0
06047,Merced County,CA,13.3,196451.0
48445,Terry County,TX,0.0,8979.0
20141,Osborne County,KS,27.4,2687.0
51155,Pulaski County,VA,9.3,28087.0
13253,Seminole County,GA,1.9,6406.0
28097,Montgomery County,MS,21.2,7594.0
13023,Bleckley County,GA,1.8,10302.0
53059,Skamania County,WA,15.1,9867.0
21009,Barren County,KY,19.6,33861.0
13003,Atkinson County,GA,1.7,6025.0
01059,Franklin County,AL,16.7,23590.0
56007,Carbon County,WY,22.0,11438.0
36005,Bronx County,NY,18.0,1069544.0
20115,Marion County,KS,22.9,9378.0
21045,Casey County,KY,10.3,12457.0
17059,Gallatin County,IL,27.9,3866.0
12119,Sumter County,FL,45.5,123025.0
02180,Nome Census Area,AK,62.9,6544.0
48269,King County,TX,0.0,200.0
17075,Iroquois County,IL,23.6,21252.0
29127,Marion County,MO,21.1,21939.0
36049,Lewis County,NY,20.7,20288.0
21097,Harrison County,KY,23.6,14608.0
30019,Daniels County,MT,26.2,1338.0
01069,Houston County,AL,17.1,81594.0
31175,Valley County,NE,15.6,3208.0
26017,Bay County,MI,23.4,82568.0
13183,Long County,GA,1.2,14239.0
47095,Lake County,TN,12.6,6010.0
51149,Prince George County,VA,7.6,29911.0
26103,Marquette County,MI,29.7,54805.0
37073,Gates County,NC,20.4,9230.0
39157,Tuscarawas County,OH,14.0,70996.0
48179,Gray County,TX,0.0,16344.0
48145,Falls County,TX,0.0,13671.0
48197,Hardeman County,TX,0.0,3087.0
16053,Jerome County,ID,16.7,16966.0
48063,Camp County,TX,0.0,9646.0
55001,Adams County,WI,23.1,17372.0
08025,Crowley County,CO,0.7,5369.0
31023,Butler County,NE,21.3,6173.0
30085,Roosevelt County,MT,30.5,7320.0
17037,DeKalb County,IL,15.7,82430.0
21203,Rockcastle County,KY,14.3,13155.0
55031,Douglas County,WI,15.5,34706.0
05039,Dallas County,AR,21.9,5538.0
37049,Craven County,NC,27.3,80387.0
51013,Arlington County,VA,11.6,193888.0
21007,Ballard County,KY,13.5,6239.0
51099,King George County,VA,4.1,20246.0
08121,Washington County,CO,0.8,3811.0
13145,Harris County,GA,6.7,27721.0
40015,Caddo County,OK,35.3,21606.0
40097,Mayes County,OK,20.6,31548.0
20159,Rice County,KS,15.8,7384.0
29189,St. Louis County,MO,21.4,776354.0
19061,Dubuque County,IA,30.1,75191.0
28037,Franklin County,MS,17.7,5965.0
72041,Cidra Municipio,PR,14.6,31437.0
18039,Elkhart County,IN,18.0,149899.0
45037,Edgefield County,SC,19.6,22419.0
28151,Washington County,MS,17.4,32676.0
38041,Hettinger County,ND,23.5,1871.0
20183,Smith County,KS,26.5,2841.0
06113,Yolo County,CA,23.7,174725.0
28009,Benton County,MS,13.6,6498.0
40077,Latimer County,OK,20.3,7881.0
40089,McCurtain County,OK,16.2,24563.0
13117,Forsyth County,GA,4.8,178574.0
72105,Naranjito Municipio,PR,15.6,22444.0
49047,Uintah County,UT,14.3,23981.0
42083,McKean County,PA,15.3,32567.0
51710,Norfolk city,VA,13.7,195725.0
48221,Hood County,TX,0.0,48650.0
32029,Storey County,NV,7.4,3624.0
38033,Golden Valley County,ND,17.3,1379.0
13007,Baker County,GA,15.1,2447.0
33017,Strafford County,NH,0.6,106852.0
36069,Ontario County,NY,24.8,87942.0
40047,Garfield County,OK,21.8,45374.0
18027,Daviess County,IN,17.7,23504.0
19063,Emmet County,IA,23.5,7337.0
21119,Knott County,KY,23.9,11867.0
38057,Mercer County,ND,20.1,6289.0
20053,Ellsworth County,KS,22.3,4985.0
24005,Baltimore County,MD,23.2,648488.0
18037,Dubois County,IN,26.5,32323.0
55137,Waushara County,WI,21.7,19983.0
37055,Dare County,NC,35.0,30088.0
55015,Calumet County,WI,21.5,38423.0
17173,Shelby County,IL,19.6,17073.0
19057,Des Moines County,IA,27.2,30179.0
17039,De Witt County,IL,22.7,12346.0
48073,Cherokee County,TX,0.0,39319.0
37117,Martin County,NC,45.7,17917.0
37027,Caldwell County,NC,21.2,65842.0
31169,Thayer County,NE,15.0,3838.0
06041,Marin County,CA,35.3,207495.0
31165,Sioux County,NE,11.5,964.0
02013,Aleutians East Borough,AK,20.3,3084.0
32023,Nye County,NV,16.5,38803.0
46043,Douglas County,SD,12.8,2160.0
46093,Meade County,SD,22.1,21993.0
48143,Erath County,TX,0.0,33869.0
48321,Matagorda County,TX,0.0,27278.0
29109,Lawrence County,MO,11.8,28653.0
48441,Taylor County,TX,0.0,103784.0
42061,Huntingdon County,PA,19.0,37218.0
21225,Union County,KY,14.6,11777.0
37075,Graham County,NC,26.4,6767.0
13009,Baldwin County,GA,2.0,36602.0
21109,Jackson County,KY,15.1,10337.0
51111,Lunenburg County,VA,14.8,9892.0
22055,Lafayette Parish,LA,18.7,186592.0
27013,Blue Earth County,MN,23.7,54177.0
28011,Bolivar County,MS,23.1,23145.0
72023,Cabo Rojo Municipio,PR,14.6,38994.0
27067,Kandiyohi County,MN,23.9,32536.0
47165,Sumner County,TN,15.6,146577.0
29163,Pike County,MO,17.5,14324.0
28055,Issaquena County,MS,5.9,1185.0
29229,Wright County,MO,13.9,13586.0
40119,Payne County,OK,19.4,66254.0
27037,Dakota County,MN,22.6,324966.0
19131,Mitchell County,IA,22.4,8077.0
54031,Hardy County,WV,12.7,10951.0
06085,Santa Clara County,CA,23.0,1511937.0
42075,Lebanon County,PA,18.7,109639.0
